unix_seconds,pid,cpu_percent,rss_mb,threads,read_bytes,write_bytes,voluntary_switches,involuntary_switches
1789326374.5508072,374904,0.0,0.8359375,1,0,0,0,0
1789326375.5514405,374904,98.9,1054.99609375,66,0,4096,24,2
1789326376.5518436,374904,100.0,1619.0390625,66,0,4096,62,3
1789326377.5523543,374904,125.9,1831.3125,70,0,4096,90,5
1789326378.5527737,374904,114.0,1864.5234375,70,0,4096,95,5
1789326379.5531852,374904,115.0,1954.96875,70,0,8192,164,8
1789326380.5536046,374904,118.0,1955.0625,70,0,8192,169,8
1789326381.5540564,374904,98.0,1999.515625,74,0,8192,171,8
1789326382.5544133,374904,100.0,2055.5234375,74,0,8192,171,8
1789326383.5548708,374904,162.9,2189.30859375,74,0,8192,171,8
1789326384.555218,374904,182.9,2238.4453125,76,0,8192,171,8
1789326385.5555947,374904,120.0,2238.8046875,76,0,8192,171,8
1789326386.5560346,374904,126.9,2238.890625,76,0,8192,171,8
1789326387.5563693,374904,123.0,2239.1015625,76,0,8192,171,8
1789326388.5567877,374904,119.0,2239.1015625,76,0,8192,171,8
1789326389.5571725,374904,138.9,2255.171875,76,0,8192,171,8
1789326390.5575795,374904,170.9,2256.296875,77,0,8192,171,8
1789326391.5580163,374904,175.9,2301.578125,79,0,8192,171,8
1789326392.558378,374904,113.0,2301.80078125,79,0,8192,171,8
1789326393.5586872,374904,191.9,2331.6171875,79,0,8192,171,8
1789326394.5589893,374904,165.0,2334.04296875,79,0,8192,171,8
1789326395.5592618,374904,122.0,2334.05078125,79,0,8192,171,8
1789326396.559578,374904,139.0,2363.15625,79,0,8192,171,8
1789326397.559933,374904,144.9,2371.2578125,79,0,8192,171,8
1789326398.5602005,374904,181.0,2384.421875,79,0,8192,171,8
1789326399.5605135,374904,185.9,2387.015625,79,0,8192,171,8
1789326400.5609102,374904,157.9,2410.609375,79,0,8192,171,8
1789326401.5612013,374904,231.9,2417.93359375,79,0,8192,171,8
1789326402.561578,374904,280.9,2424.828125,79,0,8192,171,8
1789326403.5620189,374904,281.9,2425.06640625,79,0,8192,171,8
1789326404.5624971,374904,291.9,2568.4453125,78,0,8192,171,8
1789326405.5628624,374904,116.0,2571.56640625,78,0,8192,171,8
1789326406.563217,374904,123.0,2572.98828125,78,0,8192,171,8
1789326407.5636752,374904,147.9,2556.28515625,79,0,122896384,172,8
1789326408.5640678,374904,197.9,2572.9609375,78,0,122896384,172,8
1789326409.5644355,374904,182.9,2635.07421875,78,0,122896384,172,8
1789326410.5648837,374904,109.0,2635.07421875,78,0,122896384,172,8
1789326411.5652354,374904,113.0,2635.078125,78,0,122896384,172,8
1789326412.5657644,374904,107.9,2635.08203125,78,0,122896384,172,8
1789326413.566369,374904,125.9,2644.8125,78,0,122896384,172,8
1789326414.5667725,374904,124.9,2656.078125,78,0,122896384,172,8
1789326415.5671303,374904,109.0,2656.078125,78,0,122896384,172,8
1789326416.5675123,374904,139.9,2661.62890625,78,0,122900480,172,8
1789326417.5679488,374904,108.0,2661.8359375,78,0,122900480,172,8
1789326418.568302,374904,108.0,2661.8359375,78,0,122900480,172,8
1789326419.5687716,374904,135.9,2676.34375,78,0,122900480,172,8
1789326420.5693073,374904,156.9,2690.80859375,78,0,122900480,172,8
1789326421.5699112,374904,162.9,2722.453125,78,0,122900480,172,8
1789326422.5702531,374904,137.0,2711.1015625,79,0,134729728,173,8
1789326423.5706007,374904,109.0,2711.1328125,79,0,134729728,173,8
1789326424.571041,374904,123.9,2736.4140625,79,0,134729728,173,8
1789326425.5715256,374904,108.9,2737.015625,79,0,134729728,173,8
1789326426.5720053,374904,117.9,2737.015625,79,0,134729728,173,8
1789326427.5724878,374904,109.9,2737.015625,79,0,134729728,173,8
1789326428.5730348,374904,176.9,2805.23046875,78,0,134729728,173,8
1789326429.57352,374904,184.9,2848.7734375,77,0,134729728,173,8
1789326430.5740333,374904,178.9,2970.59375,77,0,134729728,173,8
1789326431.5744715,374904,119.9,2901.41015625,77,0,134729728,173,8
1789326432.5749428,374904,116.9,2901.64453125,77,0,134729728,173,8
1789326433.5753455,374904,111.0,2901.64453125,77,0,134729728,173,8
1789326434.5758083,374904,107.9,2901.64453125,77,0,134729728,173,8
1789326435.5762315,374904,114.0,2901.6875,77,0,134729728,173,8
1789326436.5766628,374904,113.0,2901.80078125,77,0,134729728,173,8
1789326437.5770519,374904,120.0,2901.84375,77,0,134729728,173,8
1789326438.5775292,374904,108.9,2913.83203125,77,0,134729728,173,8
1789326439.5779834,374904,109.0,2915.83203125,77,0,134729728,173,8
1789326440.5783348,374904,109.0,2915.83203125,77,0,134729728,173,8
1789326441.5787833,374904,124.9,2923.31640625,77,0,134729728,173,8
1789326442.5793262,374904,217.9,2937.58203125,77,0,134729728,173,8
1789326443.579845,374904,116.9,2937.58203125,77,0,134729728,173,8
1789326444.580242,374904,165.9,3002.578125,76,0,134729728,173,8
1789326445.580689,374904,261.9,3069.890625,77,0,158597120,174,8
1789326446.5811787,374904,174.9,3059.8515625,77,0,158597120,174,8
1789326447.5817046,374904,123.9,3060.3828125,77,0,158597120,174,8
1789326448.5822551,374904,107.9,3060.3828125,77,0,158597120,174,8
1789326449.5829146,374904,123.9,3038.94921875,78,0,165376000,175,8
1789326450.583443,374904,152.9,3043.57421875,78,0,165376000,175,8
1789326451.58395,374904,195.9,3137.4765625,77,0,165380096,175,8
1789326452.5843241,374904,171.9,3148.5703125,77,0,165380096,175,8
1789326453.5847979,374904,111.9,3148.5703125,77,0,165380096,175,8
1789326454.5852656,374904,136.9,3148.5703125,77,0,165380096,175,8
1789326455.5857623,374904,119.9,3148.7890625,77,0,165380096,175,8
1789326456.586281,374904,114.9,3148.7890625,77,0,165380096,175,8
1789326457.586801,374904,116.9,3148.7890625,77,0,165380096,175,8
1789326458.5872512,374904,113.9,3148.7890625,77,0,165380096,175,8
1789326459.5876994,374904,113.9,3148.7890625,77,0,165380096,175,8
1789326460.5881984,374904,120.9,3112.94921875,77,0,165380096,175,8
1789326461.5886505,374904,114.9,3112.94921875,77,0,165380096,175,8
1789326462.5891578,374904,153.9,3112.94921875,77,0,165380096,175,8
1789326463.5895748,374904,118.0,3112.94921875,77,0,165380096,175,8
1789326464.590113,374904,122.9,3112.94921875,77,0,165380096,175,8
1789326465.5906446,374904,122.9,3112.94921875,78,0,182194176,176,8
1789326466.5911648,374904,139.9,3118.6171875,78,0,182198272,176,8
1789326467.5916216,374904,151.9,3167.64453125,78,0,182198272,176,8
1789326468.5921266,374904,141.9,3106.16796875,79,0,192929792,177,8
1789326469.5925267,374904,132.9,3106.16796875,79,0,192929792,177,8
1789326470.5929768,374904,109.0,3106.16796875,79,0,192929792,177,8
1789326471.5934572,374904,105.9,3106.16796875,79,0,192929792,177,8
1789326472.5939164,374904,193.9,3209.2890625,77,0,192929792,177,8
1789326473.594353,374904,128.9,3243.43359375,77,0,192929792,177,8
1789326474.5948372,374904,108.9,3243.43359375,77,0,192929792,177,8
1789326475.5953417,374904,107.9,3243.45703125,77,0,192929792,177,8
1789326476.5956142,374904,109.0,3243.45703125,77,0,192929792,177,8
1789326477.596005,374904,133.9,3243.45703125,77,0,192929792,177,8
1789326478.5963085,374904,111.0,3243.45703125,77,0,192929792,177,8
1789326479.5966842,374904,108.0,3243.45703125,77,0,192929792,177,8
1789326480.5969727,374904,108.0,3243.45703125,77,0,192929792,177,8
1789326481.597241,374904,107.0,3243.45703125,77,0,192929792,177,8
1789326482.5976048,374904,124.0,3243.54296875,77,0,192929792,177,8
1789326483.5981247,374904,113.9,3243.54296875,77,0,192929792,177,8
1789326484.5984674,374904,106.0,3243.54296875,77,0,192929792,177,8
1789326485.598887,374904,110.0,3243.80859375,77,0,192929792,177,8
1789326486.5992115,374904,108.0,3243.80859375,77,0,192929792,177,8
1789326487.5995286,374904,108.0,3243.8359375,77,0,192929792,177,8
1789326488.59994,374904,121.0,3243.8359375,78,0,193875968,178,8
1789326489.6002138,374904,117.0,3243.83984375,78,0,193875968,178,8
1789326490.6005166,374904,120.0,3243.83984375,78,0,193875968,178,8
1789326491.6008275,374904,107.0,3243.9609375,78,0,193875968,178,8
1789326492.60124,374904,118.0,3243.97265625,78,0,193875968,178,8
1789326493.6016433,374904,109.0,3243.9765625,78,0,193875968,178,8
1789326494.6019387,374904,112.0,3195.41015625,78,0,193875968,178,8
1789326495.6022053,374904,119.0,3145.484375,79,0,209825792,179,8
1789326496.6025064,374904,125.0,3145.484375,79,0,209825792,179,8
1789326497.602878,374904,126.0,3145.484375,79,0,209825792,179,8
1789326498.6032968,374904,146.9,3145.53515625,79,0,209825792,179,8
1789326499.6036377,374904,129.0,3145.62109375,79,0,209825792,179,8
1789326500.603932,374904,222.9,3242.34765625,78,0,209825792,179,8
1789326501.6042073,374904,129.0,3253.82421875,78,0,209825792,179,8
1789326502.6045187,374904,124.0,3253.82421875,78,0,209825792,179,8
1789326503.604894,374904,131.9,3254.0546875,78,0,209825792,179,8
