concurrency,corpus_seconds,degraded_documents,document_seconds,failed_documents,kind,pages,pages_per_second,round,unix_seconds,valid,cpu_mean,cpu_max,rss_max_mb,gpu_mean,gpu_max_mb,gpu_temp_max,gpu_power_mean,gpu_clock_median,json_seconds,sync_seconds,json_bytes,pdf_open_seconds,pdf_open_max_seconds,ocr_queue_seconds,mean_document_seconds
1,146.755659389,0,146.75200993700003,0,summary,368,2.507569394816697,1,1789325920.5228982,True,130.73835616438356,277.9,3335.7265625,47.28082191780822,6873.0,77.0,40.74835616438356,2565.0,0.409231798,0.248103563,251574317,0.008024967,0.00132874,262.2097782699999,12.229334161416666
1,152.44350611,0,152.44004773299997,0,summary,368,2.414009027937596,2,1789326072.966429,True,129.89736842105265,273.9,4185.078125,50.74834437086093,6911.0,82.0,41.744238410596026,2505.0,2.1153196789999997,0.286793442,251574316,0.007519325,0.001092578,271.02680076699994,12.703337311083333
2,146.361885359,0,287.959423295,0,summary,368,2.5143157940153653,1,1789326227.0519023,True,136.5732876712329,320.9,3278.78515625,48.47260273972603,6514.0,80.0,42.100890410958904,2550.0,0.387631883,0.255340909,251574325,45.619862229,23.039935139,531.8416225839999,23.996618607916666
2,146.570631281,0,288.120194817,0,summary,368,2.510734904965262,2,1789326373.6225758,True,137.97278911564626,297.9,4229.15234375,46.734693877551024,6657.0,82.0,42.38238095238095,2565.0,0.439498297,0.249220634,251574324,45.457894287,18.984166163,525.931926175,24.01001623475
4,148.456237448,0,571.3251045549999,0,summary,368,2.478844987088535,1,1789326529.2555263,True,137.04324324324324,291.9,3482.21484375,46.945945945945944,6833.0,83.0,43.049797297297296,2565.0,0.42544290700000004,0.262640039,251574311,240.150929609,47.331813518,820.0195584200001,47.61042537958333
4,149.872981926,0,576.233498867,0,summary,368,2.4554125451490685,2,1789326679.128559,True,136.9,305.9,4370.234375,47.78666666666667,6943.0,82.0,42.1402,2565.0,0.417004317,0.263515492,251574310,239.589093753,37.214865915,822.1910475150007,48.01945823891666
