ocr_mode,concurrency,corpus_seconds,degraded_documents,document_seconds,failed_documents,kind,pages,pages_per_second,pdfium_processes,round,unix_seconds,valid,mean_document_seconds,cpu_family_mean_percent,cpu_parent_mean_percent,rss_family_peak_mib,rss_parent_peak_mib,observed_family_processes,gpu_busy_mean_percent,gpu_peak_mib,gpu_temp_peak_c,gpu_clock_median_mhz,gpu_power_mean_w,pdf_open_total_seconds,pdf_open_max_seconds,pdfium_queue_total_seconds,pdfium_queue_max_seconds,ocr_queue_total_seconds,ocr_page_max_seconds,layout_queue_total_seconds,serialize_sync_total_seconds,json_bytes,ocr_pages,ocr_lines,tsr_calls
ocr-off,2,27.766145963,0,53.233453862,0,summary,368,13.253549862137199,5,1,1789384540.2099574,True,4.436121155166666,232.45714285714286,184.62857142857143,2425.765625,2081.52734375,6,91.25,3217.0,72.0,2347.5,55.86142857142857,0.006823298,0.001156863,4.4297999999999995e-05,7.244e-06,0.0,0.0,112.30348299799999,0.652131207,249257423,0,0,12
ocr-off,3,27.378934584,0,77.777755459,0,summary,368,13.440990513014917,5,1,1789384570.9911253,True,6.4814796215833335,245.4925925925926,194.0185185185185,2560.9765625,2187.8671875,6,94.29629629629629,3228.0,78.0,2340.0,58.074444444444445,0.006786943,0.000820438,3.8877e-05,6.558e-06,0.0,0.0,162.45196761199998,0.722764404,249257423,0,0,12
ocr-off,4,27.005500292,0,106.12578114200001,0,summary,368,13.626853641701087,5,1,1789384601.7174308,True,8.843815095166667,263.5346153846154,204.84230769230768,2725.9765625,2317.06640625,6,97.03703703703704,3197.0,80.0,2325.0,59.94444444444444,0.006729372,0.001039188,3.3473e-05,4.66e-06,0.0,0.0,231.50730301000002,0.721260027,249257423,0,0,12
ocr-off,5,26.967922362,0,108.21522986599999,0,summary,368,13.645841717437676,5,1,1789384632.833106,True,9.017935822166667,267.76153846153846,207.96923076923076,2648.67578125,2266.58984375,6,96.81481481481481,3376.0,82.0,2310.0,60.28703703703704,0.007569329,0.001075194,4.2039e-05,7.914e-06,0.0,0.0,278.52175785199995,0.751574493,249257423,0,0,12
ocr-on,2,147.33139322,0,288.347560961,0,summary,368,2.4977704476770306,5,1,1789384805.4707494,True,24.028963413416665,139.5082191780822,130.76643835616437,2956.80859375,2595.7109375,6,50.59863945578231,6917.0,82.0,2565.0,42.71367346938776,0.006106221,0.00084318,4.7249e-05,7.306e-06,726.3656217890001,24.465270103,54.07446115099999,0.677557434,251574318,111,6146,12
ocr-on,3,149.759853022,0,437.69731373499997,0,summary,368,2.457267368885172,5,1,1789384963.151104,True,36.47477614458334,141.3731543624161,132.33154362416107,3005.19921875,2630.42578125,6,46.95333333333333,6914.0,83.0,2565.0,43.6704,0.006164232,0.000873695,3.737e-05,4.867e-06,1209.910958483999,27.127894762,55.537062049,0.696935274,251574315,111,6146,12
ocr-on,4,153.054456255,0,591.392173186,0,summary,368,2.404372985957919,5,1,1789385123.6511695,True,49.282681098833336,141.36118421052632,132.2625,3178.4609375,2804.54296875,6,47.80392156862745,7051.0,85.0,2565.0,43.62483660130719,0.0072985310000000005,0.00084553,6.5076e-05,2.8362e-05,1675.6538170139997,37.25482364,67.10425013500002,0.678585957,251574323,111,6146,12
ocr-on,5,150.498074643,0,720.18568268,0,summary,368,2.4452140060458674,5,1,1789385282.3891323,True,60.01547355666667,141.72533333333334,132.454,3315.3671875,2953.02734375,6,48.83443708609271,6656.0,86.0,2565.0,44.47225165562914,0.007239341999999999,0.001493027,3.5464e-05,7.755e-06,2218.4793989799987,35.099872293,87.14794556599999,0.7287485459999999,251574312,111,6146,12
