case,cuda_conv_algorithm,batch_size,corpus_seconds,pages_per_second,mean_document_seconds,gpu_busy_mean_percent,gpu_peak_mib,gpu_clock_median_mhz,gpu_temp_peak_c,family_cpu_mean_percent,family_rss_peak_mib,observed_processes,ocr_pages,ocr_lines,recognition_calls,tsr_calls,page_errors,degraded_documents,json_bytes,valid,OcrRecognitionInference_seconds,OcrOrientationInference_seconds,OcrDetectionInference_seconds,OcrReadback_seconds,OcrRecognitionPreprocess_seconds,LayoutInference_seconds,OcrQueue_seconds,TsrInference_seconds,serialization_sync_seconds
clean/batch-1,exhaustive,1,155.431307526,2.3676053805211814,25.364030472,57.82692307692308,6576.0,2565.0,81.0,137.42193548387095,2880.484375,6,111,6146,6146,12,0,0,251574330,True,129.98858481699995,19.738752617000006,19.515848247999998,14.108457050999995,4.559644512999997,35.847146755999994,775.8372451910001,3.6328476060000003,0.690498304
clean/batch-16,exhaustive,16,133.843447532,2.7494808807283344,21.81137703583333,63.59701492537314,6580.0,2535.0,83.0,149.95112781954887,3178.96484375,6,111,6146,1798,12,0,0,251574334,True,109.35210495800003,35.761648876,19.869138482000004,14.234524014000002,4.313632148,39.384378657,583.386161849,3.6468125149999997,0.716325724
clean/batch-4,exhaustive,4,155.464284015,2.3671031731281342,25.52856648683333,56.032051282051285,6517.0,2565.0,81.0,149.44838709677418,3104.27734375,6,111,6146,2634,12,0,0,251574352,True,130.08606426299997,53.379145324999996,20.096883418999997,13.983268912000003,4.370470444,38.135256870000006,743.7871117279999,3.5509027609999997,0.706747937
clean/batch-8,exhaustive,8,142.390105772,2.584449235463414,23.202400291666667,58.76923076923077,6607.0,2565.0,82.0,149.42042253521126,3171.8984375,6,111,6146,2079,12,0,0,251574337,True,116.31529470900001,43.37705694099999,20.789810255,14.015310275000003,4.1956957479999994,38.174682708000006,627.1688975090002,3.62942756,0.689722457
clean/before,exhaustive,1,159.537295425,2.306670669197851,26.149603202416667,57.37735849056604,6548.0,2565.0,80.0,137.46898734177216,3008.0,6,111,6146,6146,12,0,0,251574329,True,133.84463227800003,21.429706569,20.268136664,14.246500862999996,2.5871634879999985,40.396140045,769.7450902520003,4.059889414,0.674972537
heuristic/batch-1,heuristic,1,144.933393034,2.5390973901623255,23.757458329166667,51.52413793103448,6474.0,2565.0,78.0,139.86666666666667,2940.71875,6,111,6146,6146,12,0,0,251574318,True,121.89372464200002,18.627539402000007,18.031883649,13.514490551999998,4.662385851,34.577418437,701.561523333,4.336505531999999,0.651371007
heuristic/batch-16,heuristic,16,129.988226505,2.831025623584801,21.191356521916667,61.5968992248062,6591.0,2520.0,82.0,150.5476923076923,3069.484375,6,111,6146,1798,12,0,0,251574333,True,107.40681799900003,32.911996969,19.370984045,14.058895678999995,4.224720487,37.10228667,562.2250227850001,3.574051843,0.69427758
heuristic/batch-4,heuristic,4,144.139529179,2.5530817402837385,23.628754277,47.88194444444444,6489.0,2565.0,80.0,151.25104895104894,3161.9921875,6,111,6146,2634,12,0,0,251574359,True,119.99049489999999,47.769513208000006,18.290442064,13.825064923,4.149386115,33.84339309600001,693.479475582,3.383394467,0.6659372760000001
heuristic/batch-8,heuristic,8,140.687155228,2.6157327540215944,23.03847317175,56.44285714285714,6505.0,2565.0,81.0,151.10359712230215,3114.61328125,6,111,6146,2079,12,0,0,251574338,True,116.425649322,43.016613165,19.573364523,14.051448470999999,4.323577522000001,36.816168095,631.6116641330004,3.58258001,0.687442248
