file,pages,NCHW-1_seconds,NHWC-1_seconds,NHWC-2_seconds,NCHW-2_seconds,NCHW_median_seconds,NHWC_median_seconds,NHWC_elapsed_reduction_percent,same_output
2303.18223v16.pdf,144,82.64410000002384,74.04709999996423,69.82820000004769,83.63389999997615,83.139,71.93765000000596,13.473039127237563,True
2403.01632v4.pdf,47,21.618600000023843,18.891899999976157,17.317399999976157,21.129400000035762,21.374000000029802,18.104649999976157,15.295920277201681,True
2410.05779v3.pdf,16,9.799399999976158,8.40669999998808,7.991900000035763,9.368600000023841,9.584,8.19930000001192,14.448038397204499,True
2603.01919v2.pdf,23,24.52380000001192,22.320900000035763,21.40680000001192,23.68069999998808,24.102249999999998,21.86385000002384,9.287099751998905,True
2604.18583v1.pdf,15,9.211899999976158,8.407699999988079,7.974800000011921,8.99330000001192,9.10259999999404,8.19125,10.011974600604612,True
2604.18584v1.pdf,32,24.73689999997616,24.48040000003576,21.67280000001192,24.05289999997616,24.39489999997616,23.07660000002384,5.403998376519715,True
2604.21959v1.pdf,3,1.057199999988079,0.8812999999523163,0.8828999999761581,1.0461000000238418,1.0516500000059605,0.8820999999642372,16.12228403373388,True
2606.17056v1.pdf,25,11.169899999976158,9.372399999976158,8.89069999998808,10.863600000023842,11.01675,9.13154999998212,17.112124719339917,True
2609.12610v1.pdf,12,5.781399999976158,4.732,4.697899999976158,5.729600000023842,5.7555,4.714949999988079,18.0792285641894,True
2609.12973v1.pdf,24,9.84780000001192,7.8193999999761585,7.681399999976158,9.384599999964237,9.61619999998808,7.750399999976159,19.402674653337428,True
2609.13008v1.pdf,31,11.429,9.112900000035763,8.60869999998808,10.566,10.9975,8.86080000001192,19.428961127420596,True
2609.13019v1.pdf,54,32.639100000023845,28.196800000011923,28.85869999998808,32.734200000047686,32.68665000003577,28.52775,12.72354309796574,True
2609.13100v1.pdf,58,23.5405,16.8195,18.322299999952318,23.70319999998808,23.62184999999404,17.57089999997616,25.615902226199083,True
2609.13141v1.pdf,26,16.983900000035764,15.850200000047684,14.918899999976158,18.0985,17.54120000001788,15.38455000001192,12.29476888698471,True
2609.13144v1.pdf,56,25.328,21.321099999964236,21.9815,27.64569999998808,26.48684999999404,21.65129999998212,18.256417807376145,True
2609.13146v1.pdf,17,8.856600000023843,7.2385,7.285799999952316,9.576800000011922,9.216700000017882,7.262149999976158,21.20661408137329,True
SQLMorph_ Query Mutation and Fine-Grained Metrics for Text-to-SQL Evaluation.pdf,13,9.9235,8.536100000023842,8.80919999998808,10.061900000035763,9.992700000017882,8.67265000000596,13.210143404781082,True
SyncWorld_ Visual Calibration Enables World Models as Zero-Shot Simulators.pdf,24,12.8095,10.295699999988079,10.54919999998808,13.790600000023842,13.300050000011922,10.422449999988078,21.636008887344516,True
Terminal-Universe_ Turning Agent Trajectories into Scalable Terminal Environments.pdf,32,19.419100000023843,16.445900000035763,16.59919999998808,20.57309999996424,19.99609999999404,16.522550000011922,17.37113737170325,True
Towards Conversational AI for Disease Management.pdf,42,17.923400000035763,14.540400000035763,15.287,19.771900000035764,18.847650000035763,14.913700000017883,20.872363398144678,True
