case,stage,count,seconds
final-ocr-on/c5,Ocr,111,1714.932724856
final-ocr-on/c5,OcrDecode,6146,0.017555757
final-ocr-on/c5,OcrDetectionInference,111,20.530628847000003
final-ocr-on/c5,OcrDetectionPostprocess,111,1.5137655409999997
final-ocr-on/c5,OcrDetectionPreprocess,111,5.372369819999999
final-ocr-on/c5,OcrOrientationInference,436,14.837104092
final-ocr-on/c5,OcrQueue,2471,1564.813711969
final-ocr-on/c5,OcrReadback,2360,2.236934982
final-ocr-on/c5,OcrRecognitionInference,1813,101.23270392100001
final-ocr-on/c5,OcrRecognitionPreprocess,872,3.8134042079999997
final-ocr-on/c5,ParseTotal,12,527.5627941220001
final-ocr-on/c5,PdfOpen,12,0.006802600999999999
final-ocr-on/c5,PdfRender,368,9.272425991
final-ocr-on/c5,PdfiumQueue,12,4.7294e-05
final-ocr-on/c5,TableCellInference,121,4.384512548
final-ocr-on/c5,TableCellPostprocess,121,0.001374646
final-ocr-on/c5,TableCellPreprocess,121,0.996553483
final-ocr-on/c5,TableExternal,121,106.903024618
final-ocr-on/c5,TableFill,121,0.222157145
final-ocr-on/c5,TextExtract,368,6.3640804210000015
final-ocr-on/c5,TextFinish,736,10.696167833
final-ocr-on/c5,TextPrepare,368,0.034783272000000004
final-ocr-on/c5,TsrInference,133,40.657623406999996
final-ocr-on/c5,TsrPostprocess,133,0.008475738999999998
final-ocr-on/c5,TsrPreprocess,133,0.21233651199999998
final-ocr-on/c5,TsrQueue,254,60.574164018999994
ocr-optimized/c2,DocumentContext,12,0.064086479
ocr-optimized/c2,LayoutBatchInference,368,34.405951140999996
ocr-optimized/c2,LayoutInference,368,34.404461251
ocr-optimized/c2,LayoutPostprocess,368,0.004306763999999999
ocr-optimized/c2,LayoutPreprocess,368,7.332293958
ocr-optimized/c2,LayoutQueue,368,59.333144176999994
ocr-optimized/c2,LayoutReadback,368,0.0019333789999999998
ocr-optimized/c2,LinkValidate,12,0.164390315
ocr-optimized/c2,Ocr,111,649.128145837
ocr-optimized/c2,OcrDecode,6146,0.017250092000000005
ocr-optimized/c2,OcrDetectionInference,111,17.63962606
ocr-optimized/c2,OcrDetectionPostprocess,111,1.4520964079999998
ocr-optimized/c2,OcrDetectionPreprocess,111,5.25278012
ocr-optimized/c2,OcrOrientationInference,436,15.077274327
ocr-optimized/c2,OcrQueue,2471,501.37344185399996
ocr-optimized/c2,OcrReadback,2360,2.2112603209999997
ocr-optimized/c2,OcrRecognitionInference,1813,101.80610534300001
ocr-optimized/c2,OcrRecognitionPreprocess,872,3.7391116699999998
ocr-optimized/c2,ParseTotal,12,215.21853837999998
ocr-optimized/c2,PdfOpen,12,0.006386892
ocr-optimized/c2,PdfRender,368,8.625582254
ocr-optimized/c2,PdfiumQueue,12,4.7656e-05
ocr-optimized/c2,TableCellBatchInference,121,4.383669382000001
ocr-optimized/c2,TableCellInference,121,4.383217292
ocr-optimized/c2,TableCellPostprocess,121,0.0012497289999999998
ocr-optimized/c2,TableCellPreprocess,121,0.988504823
ocr-optimized/c2,TableExternal,121,113.47437423299999
ocr-optimized/c2,TableFill,121,0.218076725
ocr-optimized/c2,TextExtract,368,5.716325808000001
ocr-optimized/c2,TextFinish,736,10.217561033
ocr-optimized/c2,TextPrepare,368,0.032983441999999995
ocr-optimized/c2,TsrBatchInference,133,41.709729286999995
ocr-optimized/c2,TsrInference,133,41.709315229999994
ocr-optimized/c2,TsrPostprocess,133,0.007562662999999999
ocr-optimized/c2,TsrPreprocess,133,0.199665924
ocr-optimized/c2,TsrQueue,254,66.11383623
tsr-batch2-experiment/c2,DocumentContext,12,0.063840967
tsr-batch2-experiment/c2,LayoutBatchInference,368,25.891041451
tsr-batch2-experiment/c2,LayoutInference,368,25.889649088999995
tsr-batch2-experiment/c2,LayoutPostprocess,368,0.004296566
tsr-batch2-experiment/c2,LayoutPreprocess,368,7.324867364999999
tsr-batch2-experiment/c2,LayoutQueue,368,85.92450960100001
tsr-batch2-experiment/c2,LayoutReadback,368,0.002262351
tsr-batch2-experiment/c2,LinkValidate,12,0.16238717600000002
tsr-batch2-experiment/c2,ParseTotal,12,68.367834482
tsr-batch2-experiment/c2,PdfOpen,12,0.005705575000000001
tsr-batch2-experiment/c2,PdfRender,368,8.381403967999999
tsr-batch2-experiment/c2,PdfiumQueue,12,4.313e-05
tsr-batch2-experiment/c2,TableCellBatchInference,121,3.485612571
tsr-batch2-experiment/c2,TableCellInference,121,3.4852487939999994
tsr-batch2-experiment/c2,TableCellPostprocess,121,0.001165383
tsr-batch2-experiment/c2,TableCellPreprocess,121,0.979695983
tsr-batch2-experiment/c2,TableExternal,121,164.42217935
tsr-batch2-experiment/c2,TableFill,121,0.210142129
tsr-batch2-experiment/c2,TextExtract,368,5.584676835000001
tsr-batch2-experiment/c2,TextFinish,736,10.180798358
tsr-batch2-experiment/c2,TextPrepare,368,0.016307611999999996
tsr-batch2-experiment/c2,TsrBatchInference,73,31.065618825
tsr-batch2-experiment/c2,TsrInference,133,57.576906222999995
tsr-batch2-experiment/c2,TsrPostprocess,133,0.007384877000000001
tsr-batch2-experiment/c2,TsrPreprocess,133,0.18541031600000002
tsr-batch2-experiment/c2,TsrQueue,254,102.03624574
tsr4-cell2-experiment/c2,DocumentContext,12,0.06149220200000002
tsr4-cell2-experiment/c2,LayoutBatchInference,368,26.273551186999995
tsr4-cell2-experiment/c2,LayoutInference,368,26.272121633000005
tsr4-cell2-experiment/c2,LayoutPostprocess,368,0.004132514999999999
tsr4-cell2-experiment/c2,LayoutPreprocess,368,7.259373561000001
tsr4-cell2-experiment/c2,LayoutQueue,368,87.561301088
tsr4-cell2-experiment/c2,LayoutReadback,368,0.0023751059999999997
tsr4-cell2-experiment/c2,LinkValidate,12,0.163028727
tsr4-cell2-experiment/c2,ParseTotal,12,68.53110828799998
tsr4-cell2-experiment/c2,PdfOpen,12,0.006700850999999999
tsr4-cell2-experiment/c2,PdfRender,368,8.448230938
tsr4-cell2-experiment/c2,PdfiumQueue,12,4.2564e-05
tsr4-cell2-experiment/c2,TableCellBatchInference,102,8.409258877000001
tsr4-cell2-experiment/c2,TableCellInference,121,12.062240895000002
tsr4-cell2-experiment/c2,TableCellPostprocess,121,0.001395328
