case,file,stage,count,total_ms,max_ms
before-ocr-off-c2,2603.01919v2.pdf,TsrInference,3,2183.127038,2093.201662
before-ocr-off-c2,2603.01919v2.pdf,TsrPostprocess,3,0.35063300000000003,0.21193800000000002
before-ocr-off-c2,2603.01919v2.pdf,TsrPreprocess,3,5.195559,3.058051
before-ocr-off-c2,2603.01919v2.pdf,TsrQueue,3,2824.5189060000002,2700.670805
before-ocr-off-c2,2303.18223v16.pdf,DocumentContext,1,15.852459999999999,15.852459999999999
before-ocr-off-c2,2303.18223v16.pdf,LayoutInference,144,9610.908336,75.926313
before-ocr-off-c2,2303.18223v16.pdf,LayoutPostprocess,144,2.3118480000000003,0.045959
before-ocr-off-c2,2303.18223v16.pdf,LayoutPreprocess,144,3487.4432989999996,37.928641999999996
before-ocr-off-c2,2303.18223v16.pdf,LayoutQueue,144,43234.37607699999,472.199992
before-ocr-off-c2,2303.18223v16.pdf,LayoutReadback,144,0.69104,0.016146999999999998
before-ocr-off-c2,2303.18223v16.pdf,LinkValidate,1,76.115517,76.115517
before-ocr-off-c2,2303.18223v16.pdf,ParseTotal,1,17236.518915,17236.518915
before-ocr-off-c2,2303.18223v16.pdf,PdfOpen,1,0.951492,0.951492
before-ocr-off-c2,2303.18223v16.pdf,PdfRender,144,2646.801766999999,87.429643
before-ocr-off-c2,2303.18223v16.pdf,PdfiumQueue,1,0.007679999999999999,0.007679999999999999
before-ocr-off-c2,2303.18223v16.pdf,TableExternal,1,8865.503428,8865.503428
before-ocr-off-c2,2303.18223v16.pdf,TableFill,1,1.351941,1.351941
before-ocr-off-c2,2303.18223v16.pdf,TableRules,24,41.959262,4.143312
before-ocr-off-c2,2303.18223v16.pdf,TextExtract,144,2501.8222220000002,29.157579
before-ocr-off-c2,2303.18223v16.pdf,TextFinish,288,6347.6377889999985,143.85109300000002
before-ocr-off-c2,2303.18223v16.pdf,TextPrepare,144,8.554908,0.176657
before-ocr-off-c2,2303.18223v16.pdf,TsrInference,5,6678.611637999999,6522.810575
before-ocr-off-c2,2303.18223v16.pdf,TsrPostprocess,5,0.219026,0.119628
before-ocr-off-c2,2303.18223v16.pdf,TsrPreprocess,5,6.997752,2.413097
before-ocr-off-c2,2303.18223v16.pdf,TsrQueue,5,2176.098331,2089.2142200000003
before-ocr-off-c2,2604.18583v1.pdf,DocumentContext,1,1.138369,1.138369
before-ocr-off-c2,2604.18583v1.pdf,LayoutInference,15,1013.6338270000001,71.218299
before-ocr-off-c2,2604.18583v1.pdf,LayoutPostprocess,15,0.26131,0.042719999999999994
before-ocr-off-c2,2604.18583v1.pdf,LayoutPreprocess,15,325.173072,31.614664
before-ocr-off-c2,2604.18583v1.pdf,LayoutQueue,15,2979.3325409999998,461.932563
before-ocr-off-c2,2604.18583v1.pdf,LayoutReadback,15,0.09769399999999999,0.029596
before-ocr-off-c2,2604.18583v1.pdf,LinkValidate,1,6.183678,6.183678
before-ocr-off-c2,2604.18583v1.pdf,ParseTotal,1,2441.296206,2441.296206
before-ocr-off-c2,2604.18583v1.pdf,PdfOpen,1,0.551354,0.551354
before-ocr-off-c2,2604.18583v1.pdf,PdfRender,15,1385.8354,495.801603
before-ocr-off-c2,2604.18583v1.pdf,PdfiumQueue,1,0.007498,0.007498
before-ocr-off-c2,2604.18583v1.pdf,TableRules,2,1.655894,1.112713
before-ocr-off-c2,2604.18583v1.pdf,TextExtract,15,227.739393,34.27449
before-ocr-off-c2,2604.18583v1.pdf,TextFinish,30,464.612712,175.24799299999998
before-ocr-off-c2,2604.18583v1.pdf,TextPrepare,15,0.806411,0.166414
before-ocr-off-c2,2604.21959v1.pdf,DocumentContext,1,0.223527,0.223527
before-ocr-off-c2,2604.21959v1.pdf,LayoutInference,3,215.00501199999997,73.556043
before-ocr-off-c2,2604.21959v1.pdf,LayoutPostprocess,3,0.062879,0.027228000000000002
before-ocr-off-c2,2604.21959v1.pdf,LayoutPreprocess,3,53.445845999999996,19.489864999999998
before-ocr-off-c2,2604.21959v1.pdf,LayoutQueue,3,903.972916,357.06116199999997
before-ocr-off-c2,2604.21959v1.pdf,LayoutReadback,3,0.023071,0.008914
before-ocr-off-c2,2604.21959v1.pdf,LinkValidate,1,0.635784,0.635784
before-ocr-off-c2,2604.21959v1.pdf,ParseTotal,1,517.618937,517.618937
before-ocr-off-c2,2604.21959v1.pdf,PdfOpen,1,0.265436,0.265436
before-ocr-off-c2,2604.21959v1.pdf,PdfRender,3,46.749141,17.092448
before-ocr-off-c2,2604.21959v1.pdf,PdfiumQueue,1,0.003948,0.003948
before-ocr-off-c2,2604.21959v1.pdf,TextExtract,3,19.105006,9.336272
before-ocr-off-c2,2604.21959v1.pdf,TextFinish,6,21.344324999999998,14.122859
before-ocr-off-c2,2604.21959v1.pdf,TextPrepare,3,0.064039,0.023289999999999998
before-ocr-off-c2,2604.18584v1.pdf,DocumentContext,1,1.600727,1.600727
before-ocr-off-c2,2604.18584v1.pdf,LayoutInference,32,2254.0977199999993,76.501065
before-ocr-off-c2,2604.18584v1.pdf,LayoutPostprocess,32,0.48038199999999986,0.042527
before-ocr-off-c2,2604.18584v1.pdf,LayoutPreprocess,32,618.442877,28.661405000000002
before-ocr-off-c2,2604.18584v1.pdf,LayoutQueue,32,9756.373871000002,481.89736500000004
before-ocr-off-c2,2604.18584v1.pdf,LayoutReadback,32,0.219647,0.027753
before-ocr-off-c2,2604.18584v1.pdf,LinkValidate,1,15.031519,15.031519
before-ocr-off-c2,2604.18584v1.pdf,ParseTotal,1,4231.4033899999995,4231.4033899999995
before-ocr-off-c2,2604.18584v1.pdf,PdfOpen,1,0.39808,0.39808
before-ocr-off-c2,2604.18584v1.pdf,PdfRender,32,573.166536,90.78011599999999
before-ocr-off-c2,2604.18584v1.pdf,PdfiumQueue,1,0.0068449999999999995,0.0068449999999999995
before-ocr-off-c2,2604.18584v1.pdf,TableExternal,2,2125.576327,1920.3392620000002
before-ocr-off-c2,2604.18584v1.pdf,TableFill,2,0.158024,0.12264399999999999
before-ocr-off-c2,2604.18584v1.pdf,TableRules,18,28.438802000000006,6.418969
before-ocr-off-c2,2604.18584v1.pdf,TextExtract,32,288.34516599999995,14.775163
before-ocr-off-c2,2604.18584v1.pdf,TextFinish,64,391.77923599999997,54.228685
before-ocr-off-c2,2604.18584v1.pdf,TextPrepare,32,1.020614,0.074407
before-ocr-off-c2,2604.18584v1.pdf,TsrInference,2,2121.935026,1917.499425
before-ocr-off-c2,2604.18584v1.pdf,TsrPostprocess,2,0.10458,0.093999
before-ocr-off-c2,2604.18584v1.pdf,TsrPreprocess,2,2.434033,2.124873
before-ocr-off-c2,2604.18584v1.pdf,TsrQueue,2,0.362688,0.18431599999999998
before-ocr-off-c2,2606.17056v1.pdf,DocumentContext,1,4.466004,4.466004
before-ocr-off-c2,2606.17056v1.pdf,LayoutInference,25,1699.1638489999998,73.183926
before-ocr-off-c2,2606.17056v1.pdf,LayoutPostprocess,25,0.39805699999999994,0.073213
before-ocr-off-c2,2606.17056v1.pdf,LayoutPreprocess,25,624.1460229999999,27.570098
before-ocr-off-c2,2606.17056v1.pdf,LayoutQueue,25,6417.542768,469.030008
before-ocr-off-c2,2606.17056v1.pdf,LayoutReadback,25,0.15991,0.014209999999999999
before-ocr-off-c2,2606.17056v1.pdf,LinkValidate,1,9.064751,9.064751
before-ocr-off-c2,2606.17056v1.pdf,ParseTotal,1,2772.1236390000004,2772.1236390000004
before-ocr-off-c2,2606.17056v1.pdf,PdfOpen,1,0.579522,0.579522
before-ocr-off-c2,2606.17056v1.pdf,PdfRender,25,470.52062900000004,27.82238
before-ocr-off-c2,2606.17056v1.pdf,PdfiumQueue,1,0.003529,0.003529
before-ocr-off-c2,2606.17056v1.pdf,TableRules,4,4.307355,1.7680960000000001
before-ocr-off-c2,2606.17056v1.pdf,TextExtract,25,282.5186419999999,16.874418
before-ocr-off-c2,2606.17056v1.pdf,TextFinish,50,290.43787,25.588762000000003
before-ocr-off-c2,2606.17056v1.pdf,TextPrepare,25,0.8323119999999999,0.065473
before-ocr-off-c2,2609.04180v1.pdf,DocumentContext,1,2.112074,2.112074
before-ocr-off-c2,2609.04180v1.pdf,LayoutInference,23,1532.922429,69.50674900000001
before-ocr-off-c2,2609.04180v1.pdf,LayoutPostprocess,23,0.41213900000000003,0.08195200000000001
before-ocr-off-c2,2609.04180v1.pdf,LayoutPreprocess,23,679.7750100000001,34.756127
before-ocr-off-c2,2609.04180v1.pdf,LayoutQueue,23,7132.941174,448.531971
before-ocr-off-c2,2609.04180v1.pdf,LayoutReadback,23,0.128246,0.008871
before-ocr-off-c2,2609.04180v1.pdf,LinkValidate,1,12.026524,12.026524
before-ocr-off-c2,2609.04180v1.pdf,ParseTotal,1,2971.5856320000003,2971.5856320000003
before-ocr-off-c2,2609.04180v1.pdf,PdfOpen,1,0.707429,0.707429
before-ocr-off-c2,2609.04180v1.pdf,PdfRender,23,615.3287329999998,59.955753
before-ocr-off-c2,2609.04180v1.pdf,PdfiumQueue,1,0.00287,0.00287
before-ocr-off-c2,2609.04180v1.pdf,TableRules,12,6.997985,1.351141
before-ocr-off-c2,2609.04180v1.pdf,TextExtract,23,428.92914200000007,36.875777
before-ocr-off-c2,2609.04180v1.pdf,TextFinish,46,490.3154179999999,41.413942
before-ocr-off-c2,2609.04180v1.pdf,TextPrepare,23,1.076639,0.07651400000000001
before-ocr-off-c2,2609.04184v1.pdf,DocumentContext,1,0.912242,0.912242
before-ocr-off-c2,2609.04184v1.pdf,LayoutInference,8,535.410306,69.503482
before-ocr-off-c2,2609.04184v1.pdf,LayoutPostprocess,8,0.143436,0.032309
before-ocr-off-c2,2609.04184v1.pdf,LayoutPreprocess,8,230.20109200000002,30.284543
before-ocr-off-c2,2609.04184v1.pdf,LayoutQueue,8,2916.462675,440.482974
before-ocr-off-c2,2609.04184v1.pdf,LayoutReadback,8,0.054840999999999994,0.00958
before-ocr-off-c2,2609.04184v1.pdf,LinkValidate,1,4.267044,4.267044
before-ocr-off-c2,2609.04184v1.pdf,ParseTotal,1,1803.6622100000002,1803.6622100000002
before-ocr-off-c2,2609.04184v1.pdf,PdfOpen,1,0.867805,0.867805
before-ocr-off-c2,2609.04184v1.pdf,PdfRender,8,291.272843,56.420728000000004
before-ocr-off-c2,2609.04184v1.pdf,PdfiumQueue,1,0.0046949999999999995,0.0046949999999999995
before-ocr-off-c2,2609.04184v1.pdf,TableExternal,1,576.779544,576.779544
before-ocr-off-c2,2609.04184v1.pdf,TableFill,1,1.021755,1.021755
before-ocr-off-c2,2609.04184v1.pdf,TableRules,7,2.961585,0.743904
before-ocr-off-c2,2609.04184v1.pdf,TextExtract,8,196.357234,35.294225
before-ocr-off-c2,2609.04184v1.pdf,TextFinish,16,338.24761499999994,88.31499199999999
before-ocr-off-c2,2609.04184v1.pdf,TextPrepare,8,0.52242,0.088367
before-ocr-off-c2,2609.04184v1.pdf,TsrInference,1,574.249158,574.249158
before-ocr-off-c2,2609.04184v1.pdf,TsrPostprocess,1,0.055404,0.055404
before-ocr-off-c2,2609.04184v1.pdf,TsrPreprocess,1,1.89852,1.89852
before-ocr-off-c2,2609.04184v1.pdf,TsrQueue,1,0.227355,0.227355
before-ocr-off-c2,2609.04203v1.pdf,DocumentContext,1,2.049708,2.049708
before-ocr-off-c2,2609.04203v1.pdf,LayoutInference,20,1320.8159030000002,70.649876
before-ocr-off-c2,2609.04203v1.pdf,LayoutPostprocess,20,0.301012,0.034711
before-ocr-off-c2,2609.04203v1.pdf,LayoutPreprocess,20,410.78064400000005,29.497049
before-ocr-off-c2,2609.04203v1.pdf,LayoutQueue,20,2657.706043,185.53676199999998
before-ocr-off-c2,2609.04203v1.pdf,LayoutReadback,20,0.16898400000000002,0.013927
