case,file,pages,seconds,ocr_lines,tsr_calls,cell_calls,warnings
after-ocr-off-c2,2410.05779v3.pdf,16,2.4645693140000002,0,0,0,{}
after-ocr-off-c2,2412.05210v1.pdf,12,2.055514744,0,0,0,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 2}"
after-ocr-off-c2,2603.01919v2.pdf,23,8.439381851,0,3,1,"{""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
after-ocr-off-c2,2303.18223v16.pdf,144,18.207534499,0,5,1,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1}"
after-ocr-off-c2,2604.18583v1.pdf,15,2.743932588,0,0,0,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 1}"
after-ocr-off-c2,2604.21959v1.pdf,3,0.570658887,0,0,0,{}
after-ocr-off-c2,2604.18584v1.pdf,32,4.530610664,0,2,2,"{""ContentLayoutOverlap"": 6, ""EmptyModelRegion"": 1, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
after-ocr-off-c2,2606.17056v1.pdf,25,2.412621589,0,0,0,{}
after-ocr-off-c2,2609.04180v1.pdf,23,2.943624786,0,0,0,"{""ContentLayoutOverlap"": 3}"
after-ocr-off-c2,2609.04184v1.pdf,8,2.162473468,0,1,1,"{""ContentLayoutOverlap"": 1}"
after-ocr-off-c2,2609.04203v1.pdf,20,2.373331395,0,1,1,"{""ContentLayoutOverlap"": 5}"
after-ocr-off-c3,2410.05779v3.pdf,16,1.963851924,0,0,0,{}
after-ocr-off-c3,2412.05210v1.pdf,12,2.455535391,0,0,0,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 2}"
after-ocr-off-c3,2403.01632v4.pdf,47,8.12275624,0,0,0,"{""ContentLayoutOverlap"": 7, ""EmptyModelRegion"": 2}"
after-ocr-off-c3,2604.18583v1.pdf,15,3.264212422,0,0,0,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 1}"
